toCheck,checked,checkedOld,checkedAlt,explanation,wordType,originalWordGender,originalWordNumb,wordID
abasourdis,,abasourdi‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,60
abasourdissant,,abasourdissant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,61
abasourdissants,,abasourdissant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,62
abâtardie,,abâtardi‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,63
abattu,abattu‧e,abattu‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,64
abattue,abattu‧e,abattu‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,65
abattues,abattu‧e‧s,abattu‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,66
abattus,abattu‧e‧s,abattu‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,67
abbatial,,abbatial‧le,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,68
abbatiale,,abbatiale,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,69
abbatiales,,abbatiaux‧ales,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,70
abducteur,,abducteur‧trice,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,71
aberrant,,aberrant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,72
aberrante,,aberrant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,73
aberrantes,,aberrant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,74
aberrants,,aberrant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,75
abêti,,abêti‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,76
abêties,,abêti‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,77
abêtis,,abêti‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,78
abhorré,abhorré‧e,abhorré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,79
abhorrée,abhorré‧e,abhorré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,80
abject,,abject‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,81
abjecte,,abject‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,82
abjectes,,abject‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,83
abjects,,abject‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,84
abkhaze,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,85
aboli,,aboli‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,86
abolie,,aboli‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,87
abolies,,aboli‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,88
abolis,,aboli‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,89
abolitionniste,,abolitionnist‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,90
abondant,,abondant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,91
abondante,,abondant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,92
abondantes,,abondant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,93
abondants,,abondant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,94
abonné,abonné‧e,abonné‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,95
abonnée,abonné‧e,abonné‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,96
abonnés,abonné‧e‧s,abonné‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,97
abordé,abordé‧e,abordé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,98
abordées,abordé‧e‧s,abordé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,99
abordés,abordé‧e‧s,abordé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,100
abortif,abortif‧ve,abortif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,101
abortive,abortif‧ve,abortif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,102
abortives,abortif‧ve‧s,abortif‧ve‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,103
abouti,,abouti‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,104
aboutie,,abouti‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,105
aboutis,,abouti‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,106
aboyant,,aboyant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,107
aboyante,,aboyant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,108
aboyeur,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,109
