toCheck,checked,checkedOld,checkedAlt,explanation,wordType,originalWordGender,originalWordNumb,wordID
défavorisés,défavorisé‧e‧s,défavorisé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5584
défectif,défectif‧ve,défectif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5585
défectueuse,,défectueux‧euse,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5586
défectueuses,,défectueux‧euses,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5587
défectueux,,défectueux‧euse,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,,5588
défendable,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5589
défendu,défendu‧e,défendu‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5590
défendue,défendu‧e,défendu‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5591
défendues,défendu‧e‧s,défendu‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5592
défendus,défendu‧e‧s,défendu‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5593
défensif,défensif‧ve,défensif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5594
défensifs,défensif‧ve‧s,défensif‧ve‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5595
défensive,défensif‧ve,défensif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5596
défensives,défensif‧ve‧s,défensif‧ve‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5597
déférent,déf‧veérent,déférent‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5598
déférente,déf‧veérente,déférent‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5599
déférentes,déf‧veérentes,déférent‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5600
déférents,déf‧veérents,déférent‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5601
déferlant,,déferlant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5602
déferlante,,déferlant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5603
déferlantes,,déferlant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5604
déferré,déferré‧e,déferré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5605
défiant,,défiant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5606
défiante,,défiant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5607
déficient,,déficient‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5608
déficiente,,déficient‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5609
déficientes,,déficient‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5610
déficients,,déficient‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5611
défiguré,défiguré‧e,défiguré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5612
défigurée,défiguré‧e,défiguré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5613
défigurées,défiguré‧e‧s,défiguré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5614
défigurés,défiguré‧e‧s,défiguré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5615
défilantes,,défilant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5616
défilants,,défilant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5617
défini,,défini‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5618
définie,,défini‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5619
définies,,défini‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5620
définis,,défini‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5621
définissable,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5622
définitif,définitif‧ve,définitif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5623
définitifs,définitif‧ve‧s,définitif‧ve‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5624
définitive,définitif‧ve,définitif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5625
définitives,définitif‧ve‧s,définitif‧ve‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5626
déflagrante,,déflagrant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5627
déflationniste,,déflationnist‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5628
déflationnistes,,déflationnist‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5629
déflecteur,,déflecteur‧trice,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5630
défoncé,défoncé‧e,défoncé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5631
défoncée,défoncé‧e,défoncé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5632
défoncées,défoncé‧e‧s,défoncé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5633
défoncés,défoncé‧e‧s,défoncé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5634
déformant,,déformant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5635
déformante,,déformant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5636
déformantes,,déformant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5637
déformants,,déformant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5638
déformé,déformé‧e,déformé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5639
déformée,déformé‧e,déformé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5640
déformées,déformé‧e‧s,déformé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5641
déformés,déformé‧e‧s,déformé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5642
défraîchi,,défraîchi‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5643
défraîchie,,défraîchi‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5644
défraîchies,,défraîchi‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5645
défraîchis,,défraîchi‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5646
défroqué,défroqué‧e,défroqué‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5647
défroquée,défroqué‧e,défroqué‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5648
défroqués,défroqué‧e‧s,défroqué‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5649
défunt,,défunt‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5650
défunte,,défunt‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5651
défuntes,,défunt‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5652
défunts,,défunt‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5653
dégagé,dégagé‧e,dégagé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5654
dégagée,dégagé‧e,dégagé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5655
dégagées,dégagé‧e‧s,dégagé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5656
dégagés,dégagé‧e‧s,dégagé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5657
dégarni,,dégarni‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5658
dégarnie,,dégarni‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5659
dégarnies,,dégarni‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5660
dégénératif,dégénératif‧ve,dégénératif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5661
dégénérative,dégénératif‧ve,dégénératif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5662
dégénéré,dégénéré‧e,dégénéré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5663
dégénérée,dégénéré‧e,dégénéré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5664
dégénérées,dégénéré‧e‧s,dégénéré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5665
dégénérés,dégénéré‧e‧s,dégénéré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5666
dégingandé,dégingandé‧e,dégingandé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5667
dégingandée,dégingandé‧e,dégingandé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5668
dégingandées,dégingandé‧e‧s,dégingandé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5669
dégingandés,dégingandé‧e‧s,dégingandé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5670
déglingué,déglingué‧e,déglingué‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5671
déglinguée,déglingué‧e,déglingué‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5672
déglinguées,déglingué‧e‧s,déglingué‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5673
déglingués,déglingué‧e‧s,déglingué‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5674
dégonflé,dégonflé‧e,dégonflé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5675
dégonflée,dégonflé‧e,dégonflé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5676
dégonflées,dégonflé‧e‧s,dégonflé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5677
dégonflés,dégonflé‧e‧s,dégonflé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5678
dégoulinant,,dégoulinant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5679
dégoulinante,,dégoulinant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5680
dégoulinantes,,dégoulinant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5681
dégoulinants,,dégoulinant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5682
dégourdi,,dégourdi‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5683
dégourdie,,dégourdi‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5684
dégourdies,,dégourdi‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5685
dégourdis,,dégourdi‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5686
dégoûtant,,dégoûtant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5687
dégoûtante,,dégoûtant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5688
dégoûtantes,,dégoûtant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5689
dégoûtants,,dégoûtant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5690
dégoûté,dégoûté‧e,dégoûté‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5691
dégoûtée,dégoûté‧e,dégoûté‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5692
dégoûtées,dégoûté‧e‧s,dégoûté‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5693
dégoûtés,dégoûté‧e‧s,dégoûté‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5694
dégouttant,,dégouttant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5695
dégouttante,,dégouttant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5696
dégouttantes,,dégouttant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5697
dégouttants,,dégouttant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5698
dégradant,,dégradant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5699
dégradante,,dégradant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5700
dégradantes,,dégradant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5701
dégradants,,dégradant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5702
dégradé,dégradé‧e,dégradé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5703
dégradée,dégradé‧e,dégradé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5704
dégradées,dégradé‧e‧s,dégradé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5705
dégradés,dégradé‧e‧s,dégradé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5706
dégraissante,,dégraissant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5707
dégressifs,dégressif‧ve‧s,dégressif‧ve‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5708
dégriffé,dégriffé‧e,dégriffé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5709
dégriffés,dégriffé‧e‧s,dégriffé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5710
dégrossi,,dégrossi‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5711
dégrossie,,dégrossi‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5712
dégrossies,,dégrossi‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5713
dégrossis,,dégrossi‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5714
déguenillé,déguenillé‧e,déguenillé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5715
déguenillée,déguenillé‧e,déguenillé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5716
déguenillées,déguenillé‧e‧s,déguenillé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5717
déguenillés,déguenillé‧e‧s,déguenillé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5718
dégueus,dégueu‧e‧s,dégueu‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5719
déguisé,déguisé‧e,déguisé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5720
déguisée,déguisé‧e,déguisé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5721
déguisées,déguisé‧e‧s,déguisé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5722
déguisés,déguisé‧e‧s,déguisé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5723
déhanché,déhanché‧e,déhanché‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5724
déhanchée,déhanché‧e,déhanché‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5725
déhanchées,déhanché‧e‧s,déhanché‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5726
déhanchés,déhanché‧e‧s,déhanché‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5727
déjantés,déjanté‧e‧s,déjanté‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5728
déjeté,déjeté‧e,déjeté‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5729
déjetés,déjeté‧e‧s,déjeté‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5730
délabré,délabré‧e,délabré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5731
délabrée,délabré‧e,délabré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5732
délabrées,délabré‧e‧s,délabré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5733
délabrés,délabré‧e‧s,délabré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5734
délaissé,délaissé‧e,délaissé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5735
délaissée,délaissé‧e,délaissé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5736
délaissées,délaissé‧e‧s,délaissé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5737
délaissés,délaissé‧e‧s,délaissé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5738
délassant,,délassant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5739
délassante,,délassant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5740
délavé,délavé‧e,délavé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5741
délavée,délavé‧e,délavé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5742
délavées,délavé‧e‧s,délavé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5743
délavés,délavé‧e‧s,délavé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5744
délayé,délayé‧e,délayé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5745
délayée,délayé‧e,délayé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5746
délégué,délégué‧e,délégué‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5747
délégué-général,délégué‧e-général,délégué‧e-général,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5748
déléguée,délégué‧e,délégué‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5749
délégués,délégué‧e‧s,délégué‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5750
délibérative,délibératif‧ve,délibératif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5751
délibéré,délibéré‧e,délibéré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5752
délibérée,délibéré‧e,délibéré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5753
délibérées,délibéré‧e‧s,délibéré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5754
délibérés,délibéré‧e‧s,délibéré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5755
délicat,,délicat‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5756
délicate,,délicat‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5757
délicates,,délicat‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5758
délicats,,délicat‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5759
délicieuse,,délicieux‧euse,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5760
délicieuses,,délicieux‧euses,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5761
délicieux,,délicieux‧euse,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,,5762
délictuelle,,délictuel‧le,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5763
délictueuse,,délictueux‧euse,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5764
délictueuses,,délictueux‧euses,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5765
délictueux,,délictueux‧euse,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,,5766
délié,délié‧e,délié‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5767
déliée,délié‧e,délié‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5768
déliées,délié‧e‧s,délié‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5769
déliés,délié‧e‧s,délié‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5770
délimitant,,délimitant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5771
délinquant,,délinquant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5772
délinquante,,délinquant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5773
délinquantes,,délinquant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5774
délinquants,,délinquant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5775
déliquescent,,déliquescent‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5776
déliquescente,,déliquescent‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5777
déliquescents,,déliquescent‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5778
délirant,,délirant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5779
délirante,,délirant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5780
délirantes,,délirant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5781
délirants,,délirant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5782
déloyal,,déloyal‧le,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5783
déloyale,,déloyale,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5784
déloyaux,,déloyaux‧ales,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5785
deltoïdes,,deltoïd‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5786
déluré,déluré‧e,déluré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5787
délurée,déluré‧e,déluré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5788
délurées,déluré‧e‧s,déluré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5789
démago,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5790
démagogique,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5791
démagogiques,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5792
demain,,demain‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5793
démaquillant,,démaquillant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5794
démaquillante,,démaquillant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5795
démêlant,,démêlant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5796
démêlés,démêlé‧e‧s,démêlé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5797
dément,,dément‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5798
démente,,dément‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5799
démentes,,dément‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5800
démenti,,démenti‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5801
démentie,,démenti‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5802
démentiel,,démentiel‧le,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5803
démentielle,,démentiel‧le,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5804
démentielles,,démentiel‧le‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5805
démentiels,,démentiel‧le‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5806
démenties,,démenti‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5807
démentis,,démenti‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5808
déments,,dément‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5809
démerdard,,démerdard,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5810
démesuré,démesuré‧e,démesuré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5811
démesurée,démesuré‧e,démesuré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5812
démesurées,démesuré‧e‧s,démesuré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5813
démesurés,démesuré‧e‧s,démesuré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5814
demeuré,demeuré‧e,demeuré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5815
demeurée,demeuré‧e,demeuré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5816
demeurées,demeuré‧e‧s,demeuré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5817
demeurés,demeuré‧e‧s,demeuré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,5818
demi,,demi‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5819
demi-dévêtu,demi-dévêtu‧e,demi-dévêtu‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5820
demi-dévêtue,demi-dévêtu‧e,demi-dévêtu‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5821
demi-juif,demi-juif‧ve,demi-juif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5822
demi-mort,,demi-mort‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5823
demi-morte,,demi-mort‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5824
demi-nu,demi-nu‧e,demi-nu‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5825
demi-ouverte,,demi-ouvert‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5826
demi-paralysé,demi-paralysé‧e,demi-paralysé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5827
demi-pas,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,,5828
demi-personne,,demi-person‧ne,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5829
demi-plein,,demi-plein‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5830
demi-pouce,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5831
demi-queue,demi-queu‧e,demi-queu‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,5832
demie,,demi‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,5833
demies,,demi‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,5834
